"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2026","19.410","19.410","19.410","19.410","","0.70%"
"16/03/2026","19.275","19.275","19.275","19.275","","19.09%"
"13/03/2026","16.185","16.185","16.185","16.185","","0.59%"
"12/03/2026","16.090","16.090","16.090","16.090","","0.69%"
"11/03/2026","15.980","15.980","15.980","15.980","","0.38%"
"10/03/2026","15.920","15.920","15.920","15.920","","-1.91%"
"09/03/2026","16.230","16.230","16.230","16.230","","3.31%"
"06/03/2026","15.710","15.710","15.710","15.710","","1.39%"
"05/03/2026","15.495","15.495","15.495","15.495","","2.58%"
"04/03/2026","15.105","15.105","15.105","15.105","","-4.22%"
"03/03/2026","15.770","15.770","15.770","15.770","","17.99%"
"02/03/2026","13.365","13.365","13.365","13.365","","24.62%"
"27/02/2026","10.725","10.725","10.725","10.725","","1.13%"
"26/02/2026","10.605","10.605","10.605","10.605","","0.09%"
"25/02/2026","10.595","10.595","10.595","10.595","","0.71%"
"24/02/2026","10.520","10.520","10.520","10.520","","-1.91%"
"23/02/2026","10.725","10.725","10.725","10.725","","0.61%"
"20/02/2026","10.660","10.660","10.660","10.660","","-1.11%"
"19/02/2026","10.780","10.780","10.780","10.780","","3.70%"
"18/02/2026","10.395","10.395","10.395","10.395","","4.37%"
"17/02/2026","9.960","9.960","9.960","9.960","","-9.40%"
"13/02/2026","10.993","10.993","10.993","10.993","","-0.11%"
"12/02/2026","11.005","11.005","11.005","11.005","","-0.05%"
"11/02/2026","11.010","11.010","11.010","11.010","","-0.05%"
"10/02/2026","11.015","11.015","11.015","11.015","","-0.27%"
"09/02/2026","11.045","11.045","11.045","11.045","","-0.54%"
"06/02/2026","11.105","11.105","11.105","11.105","","0.23%"
"05/02/2026","11.080","11.080","11.080","11.080","","-0.18%"
"04/02/2026","11.100","11.100","11.100","11.100","","-0.27%"
"03/02/2026","11.130","11.130","11.130","11.130","","-0.18%"
"02/02/2026","11.150","11.150","11.150","11.150","","-3.25%"
"30/01/2026","11.525","11.525","11.525","11.525","","0.52%"
"29/01/2026","11.465","11.465","11.465","11.465","","1.55%"
"28/01/2026","11.290","11.290","11.290","11.290","","-0.53%"
"27/01/2026","11.350","11.350","11.350","11.350","","1.11%"
"26/01/2026","11.225","11.225","11.225","11.225","","-0.53%"
"23/01/2026","11.285","11.285","11.285","11.285","","0.58%"
"22/01/2026","11.220","11.220","11.220","11.220","","-1.01%"
"21/01/2026","11.335","11.335","11.335","11.335","","4.91%"
"20/01/2026","10.805","10.805","10.805","10.805","","-3.14%"
"16/01/2026","11.155","11.155","11.155","11.155","","16.08%"
"15/01/2026","9.610","9.610","9.610","9.610","","0.16%"
"14/01/2026","9.595","9.595","9.595","9.595","","-0.16%"
"13/01/2026","9.610","9.610","9.610","9.610","","0.00%"
"12/01/2026","9.610","9.610","9.610","9.610","","0.47%"
"09/01/2026","9.565","9.565","9.565","9.565","","0.10%"
"08/01/2026","9.555","9.555","9.555","9.555","","-0.52%"
"07/01/2026","9.605","9.605","9.605","9.605","","0.31%"
"06/01/2026","9.575","9.575","9.575","9.575","","0.37%"
"05/01/2026","9.540","9.540","9.540","9.540","","-1.65%"
"02/01/2026","9.700","9.700","9.700","9.700","","0.99%"
"31/12/2025","9.605","9.605","9.605","9.605","","0.37%"
"30/12/2025","9.570","9.570","9.570","9.570","","-1.24%"
"29/12/2025","9.690","9.690","9.690","9.690","","-0.31%"
"26/12/2025","9.720","9.720","9.720","9.720","","-0.10%"
"24/12/2025","9.730","9.730","9.730","9.730","","1.04%"
"23/12/2025","9.630","9.630","9.630","9.630","","0.42%"
"22/12/2025","9.590","9.590","9.590","9.590","","-0.88%"
"19/12/2025","9.675","9.675","9.675","9.675","","1.26%"
"18/12/2025","9.555","9.555","9.555","9.555","","0.21%"
"17/12/2025","9.535","9.535","9.535","9.535","","0.85%"
"16/12/2025","9.455","9.455","9.455","9.455","","-11.32%"
"15/12/2025","10.662","10.662","10.662","10.662","","-0.36%"
"12/12/2025","10.700","10.700","10.700","10.700","","-0.42%"
"11/12/2025","10.745","10.745","10.745","10.745","","-0.28%"
"10/12/2025","10.775","10.775","10.775","10.775","","-0.69%"
"09/12/2025","10.850","10.850","10.850","10.850","","-0.14%"
"08/12/2025","10.865","10.865","10.865","10.865","","-0.14%"
"05/12/2025","10.880","10.880","10.880","10.880","","-0.18%"
"04/12/2025","10.900","10.900","10.900","10.900","","-0.77%"
"03/12/2025","10.985","10.985","10.985","10.985","","-0.14%"
"02/12/2025","11.000","11.000","11.000","11.000","","-0.59%"
"01/12/2025","11.065","11.065","11.065","11.065","","-0.23%"
"28/11/2025","11.090","11.090","11.090","11.090","","-0.22%"
"26/11/2025","11.115","11.115","11.115","11.115","","-0.13%"
"25/11/2025","11.130","11.130","11.130","11.130","","-1.07%"
"24/11/2025","11.250","11.250","11.250","11.250","","-1.88%"
"21/11/2025","11.465","11.465","11.465","11.465","","-2.05%"
"20/11/2025","11.705","11.705","11.705","11.705","","1.43%"
"19/11/2025","11.540","11.540","11.540","11.540","","0.09%"
"18/11/2025","11.530","11.530","11.530","11.530","","1.14%"
"17/11/2025","11.400","11.400","11.400","11.400","","2.45%"
"14/11/2025","11.127","11.127","11.127","11.127","","-0.03%"
"13/11/2025","11.130","11.130","11.130","11.130","","-0.04%"
